timestamp,gesture
2026-09-17 16:25:34,Thumbs up
2026-09-17 16:25:34,Nam tay
2026-09-17 16:25:34,Nam tay
2026-09-17 16:25:35,1 ngon tay
2026-09-17 16:25:35,1 ngon tay
2026-09-17 16:25:36,Nam tay
2026-09-17 16:25:36,Thumbs up
2026-09-17 16:25:36,Nam tay
2026-09-17 16:25:36,Nam tay
2026-09-17 16:25:39,1 ngon tay
2026-09-17 16:25:39,1 ngon tay
2026-09-17 16:25:39,4 ngon tay
2026-09-17 16:25:39,1 ngon tay
2026-09-17 16:25:40,4 ngon tay
2026-09-17 16:25:40,1 ngon tay
2026-09-17 16:25:40,4 ngon tay
2026-09-17 16:25:40,4 ngon tay
2026-09-17 16:25:41,4 ngon tay
2026-09-17 16:25:41,4 ngon tay
2026-09-17 16:25:41,1 ngon tay
2026-09-17 16:25:42,Nam tay
2026-09-17 16:25:42,Nam tay
2026-09-17 16:25:43,Thumbs up
2026-09-17 16:25:44,Thumbs up
2026-09-17 16:25:44,Thumbs up
2026-09-17 16:25:45,Thumbs up
2026-09-17 16:32:26,Nam tay
2026-09-17 16:32:26,Nam tay
2026-09-17 16:32:28,Thumbs up
2026-09-17 16:32:28,Nam tay
2026-09-17 16:32:29,Nam tay
2026-09-17 16:32:29,1 ngon tay
2026-09-17 16:32:29,4 ngon tay
2026-09-17 16:32:29,4 ngon tay
2026-09-17 16:32:30,4 ngon tay
2026-09-17 16:32:30,4 ngon tay
2026-09-17 16:32:31,4 ngon tay
2026-09-17 16:32:31,4 ngon tay
2026-09-17 16:32:31,4 ngon tay
2026-09-17 16:32:31,3 ngon tay
2026-09-17 16:32:32,4 ngon tay
2026-09-17 16:32:32,Nam tay
2026-09-17 16:32:33,4 ngon tay
2026-09-17 16:32:33,Nam tay
2026-09-17 16:32:33,4 ngon tay
2026-09-17 16:32:33,Nam tay
2026-09-17 16:32:34,4 ngon tay
2026-09-17 16:32:34,Nam tay
2026-09-17 16:32:35,4 ngon tay
2026-09-17 16:32:35,Nam tay
2026-09-17 16:32:35,4 ngon tay
2026-09-17 16:32:35,4 ngon tay
2026-09-17 16:32:36,3 ngon tay
2026-09-17 16:32:36,3 ngon tay
2026-09-17 16:32:36,3 ngon tay
2026-09-17 16:32:36,3 ngon tay
2026-09-17 16:32:37,4 ngon tay
2026-09-17 16:32:37,4 ngon tay
2026-09-17 16:32:38,4 ngon tay
2026-09-17 16:32:38,4 ngon tay
2026-09-17 16:32:38,4 ngon tay
2026-09-17 16:32:38,4 ngon tay
2026-09-17 16:32:39,4 ngon tay
2026-09-17 16:32:39,4 ngon tay
2026-09-17 16:32:40,4 ngon tay
2026-09-17 16:32:40,4 ngon tay
2026-09-17 16:32:40,4 ngon tay
2026-09-17 16:32:40,4 ngon tay
2026-09-17 16:32:41,4 ngon tay
2026-09-17 16:32:41,4 ngon tay
2026-09-17 16:32:42,4 ngon tay
2026-09-17 16:32:42,4 ngon tay
2026-09-17 16:32:42,4 ngon tay
2026-09-17 16:32:42,4 ngon tay
2026-09-17 16:32:43,4 ngon tay
2026-09-17 16:32:43,4 ngon tay
2026-09-17 16:32:44,1 ngon tay
2026-09-17 16:32:44,1 ngon tay
2026-09-17 16:32:44,2 ngon tay
2026-09-17 16:32:44,4 ngon tay
2026-09-17 16:32:45,4 ngon tay
2026-09-17 16:32:45,4 ngon tay
2026-09-17 16:32:46,3 ngon tay
2026-09-17 16:32:46,3 ngon tay
2026-09-17 16:32:46,3 ngon tay
2026-09-17 16:32:46,4 ngon tay
2026-09-17 16:32:47,3 ngon tay
2026-09-17 16:32:47,4 ngon tay
2026-09-17 16:32:48,3 ngon tay
2026-09-17 16:32:48,3 ngon tay
2026-09-17 16:32:48,4 ngon tay
2026-09-17 16:32:48,4 ngon tay
2026-09-17 16:32:49,3 ngon tay
2026-09-17 16:32:49,3 ngon tay
2026-09-17 16:32:49,4 ngon tay
2026-09-17 16:32:49,4 ngon tay
2026-09-17 16:32:50,4 ngon tay
2026-09-17 16:32:50,4 ngon tay
2026-09-17 16:32:51,4 ngon tay
2026-09-17 16:32:51,4 ngon tay
2026-09-17 16:32:51,4 ngon tay
2026-09-17 16:32:51,4 ngon tay
2026-09-17 16:32:52,4 ngon tay
2026-09-17 16:32:52,4 ngon tay
2026-09-17 16:32:53,4 ngon tay
2026-09-17 16:32:53,3 ngon tay
2026-09-17 16:32:53,2 ngon tay
2026-09-17 16:32:53,4 ngon tay
2026-09-17 16:32:54,1 ngon tay
2026-09-17 16:32:54,1 ngon tay
2026-09-17 16:32:55,1 ngon tay
2026-09-17 16:32:55,1 ngon tay
2026-09-17 16:32:55,1 ngon tay
2026-09-17 16:32:55,1 ngon tay
2026-09-17 16:32:56,1 ngon tay
2026-09-17 16:32:56,1 ngon tay
2026-09-17 16:32:56,1 ngon tay
2026-09-17 16:32:56,Nam tay
2026-09-17 16:32:57,1 ngon tay
2026-09-17 16:32:57,Nam tay
2026-09-17 16:32:58,1 ngon tay
2026-09-17 16:32:58,Nam tay
2026-09-17 16:32:58,1 ngon tay
2026-09-17 16:32:58,1 ngon tay
2026-09-17 16:32:59,2 ngon tay
2026-09-17 16:32:59,2 ngon tay
2026-09-17 16:33:00,3 ngon tay
2026-09-17 16:33:00,4 ngon tay
2026-09-17 16:33:00,2 ngon tay
2026-09-17 16:33:00,4 ngon tay
2026-09-17 16:33:01,4 ngon tay
2026-09-17 16:33:01,4 ngon tay
2026-09-17 16:33:02,4 ngon tay
2026-09-17 16:33:02,2 ngon tay
2026-09-17 16:33:02,4 ngon tay
2026-09-17 16:33:02,3 ngon tay
2026-09-17 16:33:03,1 ngon tay
2026-09-17 16:33:03,1 ngon tay
2026-09-17 16:33:04,3 ngon tay
2026-09-17 16:33:04,4 ngon tay
2026-09-17 16:33:04,4 ngon tay
2026-09-17 16:33:04,4 ngon tay
2026-09-17 16:33:05,4 ngon tay
2026-09-17 16:33:05,4 ngon tay
2026-09-17 16:33:06,4 ngon tay
2026-09-17 16:33:06,4 ngon tay
2026-09-17 16:33:06,4 ngon tay
2026-09-17 16:33:06,Xoe tay
2026-09-17 16:33:07,4 ngon tay
2026-09-17 16:33:07,4 ngon tay
2026-09-17 16:33:08,4 ngon tay
2026-09-17 16:33:08,4 ngon tay
2026-09-17 16:33:08,4 ngon tay
2026-09-17 16:33:08,4 ngon tay
2026-09-17 16:33:09,4 ngon tay
2026-09-17 16:33:09,4 ngon tay
2026-09-17 16:33:09,4 ngon tay
2026-09-17 16:33:09,4 ngon tay
2026-09-17 16:33:10,4 ngon tay
2026-09-17 16:33:10,4 ngon tay
2026-09-17 16:33:11,4 ngon tay
2026-09-17 16:33:11,4 ngon tay
2026-09-17 16:33:11,4 ngon tay
2026-09-17 16:33:11,4 ngon tay
2026-09-17 16:33:12,4 ngon tay
2026-09-17 16:33:12,4 ngon tay
2026-09-17 16:33:13,4 ngon tay
2026-09-17 16:33:13,4 ngon tay
2026-09-17 16:33:13,Nam tay
2026-09-17 16:33:13,Nam tay
2026-09-17 16:33:14,Nam tay
2026-09-17 16:33:14,1 ngon tay
2026-09-17 16:33:15,3 ngon tay
2026-09-17 16:33:15,3 ngon tay
2026-09-17 16:33:15,3 ngon tay
2026-09-17 16:33:15,3 ngon tay
2026-09-17 16:33:16,3 ngon tay
2026-09-17 16:33:16,3 ngon tay
2026-09-17 16:33:17,4 ngon tay
2026-09-17 16:33:17,4 ngon tay
2026-09-17 16:33:17,4 ngon tay
2026-09-17 16:33:17,4 ngon tay
2026-09-17 16:33:18,4 ngon tay
2026-09-17 16:33:18,4 ngon tay
2026-09-17 16:33:19,3 ngon tay
2026-09-17 16:33:19,3 ngon tay
2026-09-17 16:33:19,3 ngon tay
2026-09-17 16:33:19,3 ngon tay
2026-09-17 16:33:20,4 ngon tay
2026-09-17 16:33:20,3 ngon tay
2026-09-17 16:33:21,4 ngon tay
2026-09-17 16:33:21,4 ngon tay
2026-09-17 16:33:21,4 ngon tay
2026-09-17 16:33:21,4 ngon tay
2026-09-17 16:33:22,2 ngon tay
2026-09-17 16:33:22,4 ngon tay
2026-09-17 16:33:25,4 ngon tay
2026-09-17 16:33:25,4 ngon tay
2026-09-17 16:33:25,4 ngon tay
2026-09-17 16:33:25,2 ngon tay
2026-09-17 16:33:26,Nam tay
2026-09-17 16:33:26,Nam tay
2026-09-17 16:33:27,Nam tay
2026-09-17 16:33:28,2 ngon tay
2026-09-17 16:33:28,Thumbs up
2026-09-17 16:33:30,1 ngon tay
2026-09-17 16:33:30,Nam tay
2026-09-17 16:33:31,1 ngon tay
2026-09-17 16:33:32,1 ngon tay
2026-09-17 16:33:32,2 ngon tay
2026-09-17 16:33:33,4 ngon tay
2026-09-17 16:33:33,4 ngon tay
2026-09-17 16:33:34,Nam tay
2026-09-17 16:33:34,Thumbs up
2026-09-17 16:33:34,1 ngon tay
2026-09-17 16:33:35,1 ngon tay
2026-09-17 16:33:35,Thumbs up
2026-09-17 16:33:35,4 ngon tay
2026-09-17 16:33:36,4 ngon tay
2026-09-17 16:33:37,4 ngon tay
2026-09-17 16:33:37,4 ngon tay
2026-09-17 16:33:37,4 ngon tay
2026-09-17 16:33:37,4 ngon tay
2026-09-17 16:33:38,4 ngon tay
2026-09-17 16:33:38,4 ngon tay
2026-09-17 16:33:39,4 ngon tay
2026-09-17 16:33:39,4 ngon tay
2026-09-17 16:33:39,4 ngon tay
2026-09-17 16:33:39,4 ngon tay
2026-09-17 16:33:40,Nam tay
2026-09-17 16:33:40,Thumbs up
2026-09-17 16:33:41,4 ngon tay
2026-09-17 16:33:41,4 ngon tay
2026-09-17 16:33:41,4 ngon tay
2026-09-17 16:33:41,4 ngon tay
2026-09-17 16:33:42,4 ngon tay
2026-09-17 16:33:42,4 ngon tay
2026-09-17 16:33:43,4 ngon tay
2026-09-17 16:33:43,4 ngon tay
2026-09-17 16:33:43,4 ngon tay
2026-09-17 16:33:43,4 ngon tay
2026-09-17 16:33:44,3 ngon tay
2026-09-17 16:33:44,3 ngon tay
2026-09-17 16:33:45,4 ngon tay
2026-09-17 16:33:45,3 ngon tay
2026-09-17 16:33:45,4 ngon tay
2026-09-17 16:33:45,3 ngon tay
2026-09-17 16:33:46,3 ngon tay
2026-09-17 16:33:46,4 ngon tay
2026-09-17 16:33:47,4 ngon tay
2026-09-17 16:33:47,4 ngon tay
2026-09-17 16:33:47,4 ngon tay
2026-09-17 16:33:47,4 ngon tay
2026-09-17 16:33:48,4 ngon tay
2026-09-17 16:33:48,4 ngon tay
2026-09-17 16:33:49,4 ngon tay
2026-09-17 16:33:49,4 ngon tay
2026-09-17 16:33:49,3 ngon tay
2026-09-17 16:33:49,1 ngon tay
2026-09-17 16:33:50,1 ngon tay
2026-09-17 16:33:50,1 ngon tay
2026-09-17 16:33:50,1 ngon tay
2026-09-17 16:33:50,1 ngon tay
2026-09-17 16:33:51,1 ngon tay
2026-09-17 16:33:51,1 ngon tay
2026-09-17 16:33:52,1 ngon tay
2026-09-17 16:33:52,1 ngon tay
2026-09-17 16:33:52,1 ngon tay
2026-09-17 16:33:52,1 ngon tay
2026-09-17 16:33:53,1 ngon tay
2026-09-17 16:33:53,1 ngon tay
2026-09-17 16:33:54,1 ngon tay
2026-09-17 16:33:54,1 ngon tay
2026-09-17 16:33:54,1 ngon tay
2026-09-17 16:33:54,1 ngon tay
2026-09-17 16:33:55,1 ngon tay
2026-09-17 16:33:55,1 ngon tay
2026-09-17 16:33:56,1 ngon tay
2026-09-17 16:33:56,1 ngon tay
2026-09-17 16:33:56,4 ngon tay
2026-09-17 16:33:56,2 ngon tay
2026-09-17 16:33:57,4 ngon tay
2026-09-17 16:33:57,4 ngon tay
2026-09-17 16:33:58,4 ngon tay
2026-09-17 16:33:58,4 ngon tay
2026-09-17 16:33:58,4 ngon tay
2026-09-17 16:33:58,4 ngon tay
2026-09-17 16:33:59,4 ngon tay
2026-09-17 16:33:59,4 ngon tay
2026-09-17 16:34:00,4 ngon tay
2026-09-17 16:34:00,4 ngon tay
2026-09-17 16:34:00,3 ngon tay
2026-09-17 16:34:00,3 ngon tay
2026-09-17 16:34:01,4 ngon tay
2026-09-17 16:34:01,4 ngon tay
2026-09-17 16:34:01,4 ngon tay
2026-09-17 16:34:01,4 ngon tay
2026-09-17 16:34:02,4 ngon tay
2026-09-17 16:34:02,4 ngon tay
2026-09-17 16:34:03,4 ngon tay
2026-09-17 16:34:03,4 ngon tay
2026-09-17 16:34:03,Nam tay
2026-09-17 16:34:03,Nam tay
2026-09-17 16:34:04,4 ngon tay
2026-09-17 16:34:04,4 ngon tay
2026-09-17 16:34:04,4 ngon tay
2026-09-17 16:34:04,4 ngon tay
2026-09-17 16:34:05,4 ngon tay
2026-09-17 16:34:05,4 ngon tay
2026-09-17 16:34:06,4 ngon tay
2026-09-17 16:34:06,4 ngon tay
2026-09-17 16:34:06,4 ngon tay
2026-09-17 16:34:06,4 ngon tay
2026-09-17 16:34:07,Nam tay
2026-09-17 16:34:08,Nam tay
2026-09-17 16:34:08,1 ngon tay
2026-09-17 16:34:09,1 ngon tay
2026-09-17 16:34:10,1 ngon tay
2026-09-17 16:34:10,Nam tay
2026-09-17 16:34:11,2 ngon tay
2026-09-17 16:34:11,Nam tay
2026-09-17 16:34:11,Nam tay
2026-09-17 16:34:12,4 ngon tay
2026-09-17 16:34:12,4 ngon tay
2026-09-17 16:34:13,4 ngon tay
2026-09-17 16:34:13,4 ngon tay
2026-09-17 16:34:14,4 ngon tay
2026-09-17 16:34:14,4 ngon tay
2026-09-17 16:34:14,4 ngon tay
2026-09-17 16:34:14,4 ngon tay
2026-09-17 16:34:15,1 ngon tay
2026-09-17 16:34:15,Nam tay
2026-09-17 16:34:15,Nam tay
2026-09-17 16:34:15,Nam tay
2026-09-17 16:34:16,3 ngon tay
2026-09-17 16:34:16,3 ngon tay
2026-09-17 16:34:17,3 ngon tay
2026-09-17 16:34:17,3 ngon tay
2026-09-17 16:34:17,3 ngon tay
2026-09-17 16:34:17,Nam tay
2026-09-17 16:34:18,4 ngon tay
2026-09-17 16:34:18,Nam tay
2026-09-17 16:34:22,4 ngon tay
2026-09-17 16:34:22,2 ngon tay
2026-09-17 16:34:23,2 ngon tay
2026-09-17 16:34:24,2 ngon tay
